DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL Resistance (Scaled -1 to 1)
COLOR #ff0000
COLOR_MIN #D3D3D3
COLOR_MAX #B22222
USE_MID_COLOR 1
COLOR_MID #FFFFFF
DATA
ND35_MAG_00002 -0.710055413509655
ND35_MAG_00003 -0.809449468010694
ND35_MAG_00005 -0.9630471355569
ND35_MAG_00006 -0.732701171235037
ND35_MAG_00007 -0.620896368782178
ND35_MAG_00008 -0.912769523454081
ND35_MAG_00009 -0.932217106586444
ND35_MAG_00010 -0.736863291892702
ND35_MAG_00012 -0.91439969670547
ND35_MAG_00014 -0.80153008038748
ND35_MAG_00015 -0.947037408520568
ND35_MAG_00016 -0.781274438775038
ND35_MAG_00018 0.1811073784663
ND35_MAG_00020 -0.893940159089613
ND35_MAG_00021 -0.888264117043054
ND35_MAG_00022 -0.912598287106971
ND35_MAG_00023 0.798064112487801
ND35_MAG_00024 -0.89571832285761
ND35_MAG_00026 -0.84258067202647
ND35_MAG_00027 -0.898095312356861
ND35_MAG_00028 0.195090900401335
ND35_MAG_00029 -0.83164725383157
ND35_MAG_00030 -0.857762975304145
ND35_MAG_00031 -0.934257444273042
ND35_MAG_00032 -0.948479340082142
ND35_MAG_00034 -0.674564686147532
ND35_MAG_00035 -0.96680374626489
ND35_MAG_00036 -0.89552512378236
ND35_MAG_00037 -0.836534149229576
ND35_MAG_00038 -0.926349364467986
ND35_MAG_00039 -0.755963179657627
ND35_MAG_00040 -0.909710743116566
ND35_MAG_00041 -0.706059261474768
ND35_MAG_00042 0.645147905897276
ND35_MAG_00043 -0.922221302546095
ND35_MAG_00044 0.718549342612189
ND35_MAG_00045 -0.246476968064703
ND42_MAG_00001 -0.761597393925138
ND42_MAG_00005 -0.5305475271414
ND42_MAG_00008 -0.125665462877623
ND42_MAG_00009 -0.679835815476757
ND42_MAG_00011 -0.926234840053762
ND42_MAG_00012 -0.989142423958698
ND42_MAG_00013 -0.532726852608587
ND42_MAG_00017 -0.546900254209256
ND42_MAG_00019 0.161342862392968
ND42_MAG_00022 -0.963667313468274
ND42_MAG_00023 -0.77391452713161
ND42_MAG_00025 -0.531891472427353
ND42_MAG_00029 -0.423719124565345
ND42_MAG_00031 -0.902804057669034
ND42_MAG_00032 -0.772733308788212
ND42_MAG_00034 -0.415720303500264
ND42_MAG_00035 -0.879502974509292
ND42_MAG_00036 -0.913126619327116
ND42_MAG_00037 -0.722202930615181
ND42_MAG_00038 -0.881063577437072
ND42_MAG_00041 -0.34661173941741
ND42_MAG_00042 -0.247402155223918
ND42_MAG_00043 0.805581459788807
ND42_MAG_00045 -0.847999512102409
ND42_MAG_00047 0.380656935746947
ND42_MAG_00048 -0.280023252684845
ND42_MAG_00052 -0.149427752748268
ND42_MAG_00053 -0.9169773865315
ND42_MAG_00054 -0.149959016416035
ND42_MAG_00060 -0.977545329206775
ND42_MAG_00062 -0.802171967501616
ND42_MAG_00063 0.134540868634037
ND42_MAG_00064 -0.873881749886504
ND42_MAG_00065 -0.840941987675369
ND42_MAG_00066 0.367962343380568
ND42_MAG_00067 0.62181285213059
ND42_MAG_00071 0.398513578650375
ND42_MAG_00073 -0.100189483140386
ND42_MAG_00074 0.673031497271509
ND42_MAG_00076 0.544869155867464
ND42_MAG_00077 -0.3790404768536
ND50_MAG_00001 -0.889038953114555
ND50_MAG_00002 0.647921288715599
ND50_MAG_00003 -0.790869149476618
ND50_MAG_00006 0.476628689061868
ND50_MAG_00007 -0.920567677828385
ND50_MAG_00009 0.0924227712001071
ND50_MAG_00010 -0.856735326256568
ND50_MAG_00012 -0.914184651266056
ND50_MAG_00014 -0.0391055967377401
ND50_MAG_00015 -0.78443130366417
ND50_MAG_00016 -0.965794249879862
ND50_MAG_00017 0.371308118405798
ND50_MAG_00018 -0.821663065264994
ND50_MAG_00020 -0.417631688559526
ND50_MAG_00021 0.139946378303428
ND50_MAG_00022 -0.356621823760604
ND50_MAG_00023 -0.102621487020227
ND50_MAG_00024 -0.921274809163185
ND50_MAG_00025 -0.610123150618242
ND50_MAG_00027 -0.683008697696326
ND50_MAG_00029 -0.976714518358846
ND50_MAG_00030 -0.915371716550195
ND50_MAG_00031 -0.833872647622436
ND50_MAG_00033 -0.948564175308717
ND50_MAG_00035 -0.843077468700276
ND50_MAG_00036 -0.321968439683403
ND50_MAG_00037 -0.91478931239594
ND50_MAG_00038 -0.881094618875588
ND50_MAG_00039 -0.906560016859144
ND50_MAG_00040 -0.45624315766649
ND50_MAG_00041 -0.942727501659559
ND50_MAG_00042 -0.230527248055976
ND50_MAG_00043 -0.909216123834178
ND50_MAG_00044 0.895792484510847
ND50_MAG_00045 -0.388857110015577
ND50_MAG_00046 -0.912245451989366
ND50_MAG_00048 -0.445909791996346
ND50_MAG_00050 -1
ND50_MAG_00051 0.482824926282582
ND50_MAG_00052 -0.491232594425022
ND50_MAG_00053 -0.913494827411129
ND50_MAG_00054 -0.918652722163541
ND50_MAG_00055 0.294353790028295
ND50_MAG_00056 -0.902795675752116
ND50_MAG_00057 0.615555246595048
ND50_MAG_00058 -0.848436738681399
ND50_MAG_00059 -0.803200692570375
ND50_MAG_00060 0.809516654709519
ND57_MAG_00001 -0.898691922943132
ND57_MAG_00002 -0.936687497332764
ND57_MAG_00003 -0.90528883853448
ND57_MAG_00004 -0.54765848018613
ND57_MAG_00005 -0.85360467130645
ND57_MAG_00006 -0.922649788223738
ND57_MAG_00007 -0.953020417143413
ND57_MAG_00009 -0.880482479149993
ND57_MAG_00010 -0.965963510147841
ND57_MAG_00011 -0.707055016215985
ND57_MAG_00012 -0.65664516648201
ND57_MAG_00014 -0.648063894660491
ND57_MAG_00016 -0.869531397092477
ND57_MAG_00017 -0.932934411472074
ND57_MAG_00018 -0.813500647486409
ND57_MAG_00020 -0.608187165969222
ND57_MAG_00021 -0.795505568814172
ND57_MAG_00023 1
ND57_MAG_00025 0.0694205496978096
ND57_MAG_00026 -0.931340130584222
ND57_MAG_00027 -0.813900048669502
ND57_MAG_00028 -0.849331598164515
ND57_MAG_00029 -0.893039182233374
ND57_MAG_00030 -0.869323943332975
ND57_MAG_00031 -0.867991038685559
ND57_MAG_00032 -0.862692978368112
ND57_MAG_00033 -0.799219305833776
ND57_MAG_00034 -0.758806750390343
ND57_MAG_00035 -0.885393215778583
ND57_MAG_00036 -0.710701246857784
ND57_MAG_00037 -0.688718055371638
ND57_MAG_00038 0.114718189439666
ND57_MAG_00040 0.534679922716536
ND57_MAG_00041 -0.707085647089752
ND57_MAG_00042 -0.955477971798674
ND57_MAG_00043 -0.853846261353191
ND57_MAG_00044 -0.905832710308808
ND57_MAG_00045 -0.860768570885383
ND57_MAG_00046 -0.839474778081492
