"","Train_Proportion","Model","MSE","R2"
"1",0.8,"m2",0.449030863482534,0.41837279503377
"2",0.8,"m3",0.237415956265056,0.692476419135496
"3",0.7,"m2",0.517449342091182,0.443716269938207
"4",0.7,"m3",0.292890310491202,0.685128376508222
"5",0.6,"m2",0.582311954645095,0.366728796138468
"6",0.6,"m3",0.307819360114384,0.665242770311441
"7",0.5,"m2",0.387092158281308,0.443434502745144
"8",0.5,"m3",0.231549228877491,0.667075891484413
"9",0.4,"m2",0.472264406686231,0.380202770001063
"10",0.4,"m3",0.292919206704841,0.61557443169803
