"bin_name"	"group"
"ND35_MAG_00003"	"sig_decrease"
"ND35_MAG_00005"	"sig_decrease"
"ND35_MAG_00006"	"sig_decrease"
"ND35_MAG_00009"	"sig_decrease"
"ND35_MAG_00012"	"sig_decrease"
"ND35_MAG_00014"	"sig_decrease"
"ND35_MAG_00015"	"sig_decrease"
"ND35_MAG_00016"	"sig_decrease"
"ND35_MAG_00020"	"sig_decrease"
"ND35_MAG_00023"	"other"
"ND35_MAG_00026"	"sig_decrease"
"ND35_MAG_00028"	"other"
"ND35_MAG_00029"	"sig_decrease"
"ND35_MAG_00030"	"sig_decrease"
"ND35_MAG_00031"	"sig_decrease"
"ND35_MAG_00035"	"sig_decrease"
"ND35_MAG_00036"	"sig_decrease"
"ND35_MAG_00037"	"sig_decrease"
"ND35_MAG_00039"	"other"
"ND35_MAG_00041"	"sig_decrease"
"ND35_MAG_00042"	"other"
"ND35_MAG_00043"	"sig_decrease"
"ND35_MAG_00044"	"other"
"ND35_MAG_00045"	"other"
"ND42_MAG_00005"	"other"
"ND42_MAG_00008"	"other"
"ND42_MAG_00011"	"sig_decrease"
"ND42_MAG_00012"	"other"
"ND42_MAG_00013"	"other"
"ND42_MAG_00017"	"other"
"ND42_MAG_00019"	"other"
"ND42_MAG_00022"	"sig_decrease"
"ND42_MAG_00023"	"sig_decrease"
"ND42_MAG_00025"	"sig_decrease"
"ND42_MAG_00029"	"other"
"ND42_MAG_00031"	"sig_decrease"
"ND42_MAG_00035"	"sig_decrease"
"ND42_MAG_00036"	"other"
"ND42_MAG_00037"	"sig_decrease"
"ND42_MAG_00038"	"sig_decrease"
"ND42_MAG_00042"	"other"
"ND42_MAG_00043"	"other"
"ND42_MAG_00047"	"other"
"ND42_MAG_00048"	"other"
"ND42_MAG_00052"	"other"
"ND42_MAG_00053"	"sig_decrease"
"ND42_MAG_00060"	"sig_decrease"
"ND42_MAG_00062"	"sig_decrease"
"ND42_MAG_00064"	"sig_decrease"
"ND42_MAG_00065"	"sig_decrease"
"ND42_MAG_00067"	"other"
"ND42_MAG_00074"	"other"
"ND42_MAG_00076"	"other"
"ND42_MAG_00077"	"sig_decrease"
"ND50_MAG_00001"	"sig_decrease"
"ND50_MAG_00002"	"other"
"ND50_MAG_00003"	"sig_decrease"
"ND50_MAG_00006"	"other"
"ND50_MAG_00007"	"sig_decrease"
"ND50_MAG_00009"	"other"
"ND50_MAG_00010"	"sig_decrease"
"ND50_MAG_00012"	"sig_decrease"
"ND50_MAG_00014"	"other"
"ND50_MAG_00015"	"sig_decrease"
"ND50_MAG_00016"	"sig_decrease"
"ND50_MAG_00017"	"other"
"ND50_MAG_00018"	"sig_decrease"
"ND50_MAG_00020"	"sig_decrease"
"ND50_MAG_00021"	"other"
"ND50_MAG_00022"	"sig_decrease"
"ND50_MAG_00023"	"sig_decrease"
"ND50_MAG_00024"	"sig_decrease"
"ND50_MAG_00025"	"sig_decrease"
"ND50_MAG_00027"	"sig_decrease"
"ND50_MAG_00029"	"sig_decrease"
"ND50_MAG_00030"	"sig_decrease"
"ND50_MAG_00031"	"sig_decrease"
"ND50_MAG_00033"	"sig_decrease"
"ND50_MAG_00035"	"sig_decrease"
"ND50_MAG_00036"	"other"
"ND50_MAG_00037"	"sig_decrease"
"ND50_MAG_00038"	"sig_decrease"
"ND50_MAG_00039"	"sig_decrease"
"ND50_MAG_00040"	"sig_decrease"
"ND50_MAG_00041"	"sig_decrease"
"ND50_MAG_00042"	"other"
"ND50_MAG_00043"	"sig_decrease"
"ND50_MAG_00044"	"other"
"ND50_MAG_00045"	"sig_decrease"
"ND50_MAG_00046"	"sig_decrease"
"ND50_MAG_00048"	"other"
"ND50_MAG_00050"	"sig_decrease"
"ND50_MAG_00051"	"other"
"ND50_MAG_00052"	"sig_decrease"
"ND50_MAG_00053"	"sig_decrease"
"ND50_MAG_00054"	"sig_decrease"
"ND50_MAG_00055"	"other"
"ND50_MAG_00056"	"sig_decrease"
"ND50_MAG_00057"	"other"
"ND50_MAG_00058"	"sig_decrease"
"ND50_MAG_00059"	"sig_decrease"
"ND50_MAG_00060"	"other"
"ND57_MAG_00002"	"sig_decrease"
"ND57_MAG_00003"	"sig_decrease"
"ND57_MAG_00004"	"sig_decrease"
"ND57_MAG_00005"	"sig_decrease"
"ND57_MAG_00007"	"sig_decrease"
"ND57_MAG_00010"	"sig_decrease"
"ND57_MAG_00011"	"sig_decrease"
"ND57_MAG_00014"	"sig_decrease"
"ND57_MAG_00017"	"other"
"ND57_MAG_00018"	"sig_decrease"
"ND57_MAG_00020"	"sig_decrease"
"ND57_MAG_00023"	"other"
"ND57_MAG_00025"	"sig_decrease"
"ND57_MAG_00026"	"sig_decrease"
"ND57_MAG_00027"	"sig_decrease"
"ND57_MAG_00034"	"sig_decrease"
"ND57_MAG_00035"	"sig_decrease"
"ND57_MAG_00036"	"sig_decrease"
"ND57_MAG_00037"	"sig_decrease"
"ND57_MAG_00038"	"other"
"ND57_MAG_00040"	"other"
"ND57_MAG_00042"	"sig_decrease"
"ND57_MAG_00044"	"sig_decrease"
"ND57_MAG_00048"	"sig_decrease"
"ND57_MAG_00049"	"sig_decrease"
"ND57_MAG_00056"	"sig_decrease"
"ND57_MAG_00057"	"sig_decrease"
"ND57_MAG_00058"	"sig_decrease"
"ND57_MAG_00059"	"other"
"ND57_MAG_00060"	"sig_decrease"
"ND57_MAG_00061"	"other"
"ND57_MAG_00062"	"other"
"ND57_MAG_00063"	"sig_decrease"
