"","bin_name","group","function.","count","total_cogs","proportion"
"1","ND35_MAG_00002","susceptible","Amino acid transport and metabolism",144,2043,0.0704845814977974
"2","ND35_MAG_00002","susceptible","Carbohydrate transport and metabolism",54,2043,0.026431718061674
"3","ND35_MAG_00002","susceptible","Cell cycle control, cell division, chromosome partitioning",37,2043,0.0181106216348507
"4","ND35_MAG_00002","susceptible","Cell motility",88,2043,0.0430739109153206
"5","ND35_MAG_00002","susceptible","Cell wall/membrane/envelope biogenesis",168,2043,0.0822320117474303
"6","ND35_MAG_00002","susceptible","Chromatin structure and dynamics",1,2043,0.000489476260401371
"7","ND35_MAG_00002","susceptible","Coenzyme transport and metabolism",118,2043,0.0577581987273617
"8","ND35_MAG_00002","susceptible","Cytoskeleton",3,2043,0.00146842878120411
"9","ND35_MAG_00002","susceptible","Defense mechanisms",80,2043,0.0391581008321096
"10","ND35_MAG_00002","susceptible","Energy production and conversion",122,2043,0.0597161037689672
"11","ND35_MAG_00002","susceptible","Extracellular structures",59,2043,0.0288790993636809
"12","ND35_MAG_00002","susceptible","Function unknown",44,2043,0.0215369554576603
"13","ND35_MAG_00002","susceptible","General function prediction only",90,2043,0.0440528634361234
"14","ND35_MAG_00002","susceptible","Inorganic ion transport and metabolism",67,2043,0.0327949094468918
"15","ND35_MAG_00002","susceptible","Intracellular trafficking, secretion, and vesicular transport",81,2043,0.039647577092511
"16","ND35_MAG_00002","susceptible","Lipid transport and metabolism",84,2043,0.0411160058737151
"17","ND35_MAG_00002","susceptible","Mobilome: prophages, transposons",62,2043,0.030347528144885
"18","ND35_MAG_00002","susceptible","Nucleotide transport and metabolism",59,2043,0.0288790993636809
"19","ND35_MAG_00002","susceptible","Posttranslational modification, protein turnover, chaperones",113,2043,0.0553108174253549
"20","ND35_MAG_00002","susceptible","RNA processing and modification",1,2043,0.000489476260401371
"21","ND35_MAG_00002","susceptible","Replication, recombination and repair",89,2043,0.043563387175722
"22","ND35_MAG_00002","susceptible","Secondary metabolites biosynthesis, transport and catabolism",23,2043,0.0112579539892315
"23","ND35_MAG_00002","susceptible","Signal transduction mechanisms",178,2043,0.087126774351444
"24","ND35_MAG_00002","susceptible","Transcription",84,2043,0.0411160058737151
"25","ND35_MAG_00002","susceptible","Translation, ribosomal structure and biogenesis",194,2043,0.0949583945178659
"26","ND35_MAG_00003","susceptible","Amino acid transport and metabolism",109,1565,0.0696485623003195
"27","ND35_MAG_00003","susceptible","Carbohydrate transport and metabolism",62,1565,0.0396166134185304
"28","ND35_MAG_00003","susceptible","Cell cycle control, cell division, chromosome partitioning",30,1565,0.0191693290734824
"29","ND35_MAG_00003","susceptible","Cell motility",11,1565,0.00702875399361022
"30","ND35_MAG_00003","susceptible","Cell wall/membrane/envelope biogenesis",175,1565,0.111821086261981
"31","ND35_MAG_00003","susceptible","Coenzyme transport and metabolism",99,1565,0.063258785942492
"32","ND35_MAG_00003","susceptible","Cytoskeleton",2,1565,0.0012779552715655
"33","ND35_MAG_00003","susceptible","Defense mechanisms",36,1565,0.0230031948881789
"34","ND35_MAG_00003","susceptible","Energy production and conversion",105,1565,0.0670926517571885
"35","ND35_MAG_00003","susceptible","Extracellular structures",6,1565,0.00383386581469649
"36","ND35_MAG_00003","susceptible","Function unknown",64,1565,0.0408945686900958
"37","ND35_MAG_00003","susceptible","General function prediction only",113,1565,0.0722044728434505
"38","ND35_MAG_00003","susceptible","Inorganic ion transport and metabolism",66,1565,0.0421725239616613
"39","ND35_MAG_00003","susceptible","Intracellular trafficking, secretion, and vesicular transport",30,1565,0.0191693290734824
"40","ND35_MAG_00003","susceptible","Lipid transport and metabolism",80,1565,0.0511182108626198
"41","ND35_MAG_00003","susceptible","Mobilome: prophages, transposons",2,1565,0.0012779552715655
"42","ND35_MAG_00003","susceptible","Nucleotide transport and metabolism",65,1565,0.0415335463258786
"43","ND35_MAG_00003","susceptible","Posttranslational modification, protein turnover, chaperones",106,1565,0.0677316293929712
"44","ND35_MAG_00003","susceptible","Replication, recombination and repair",93,1565,0.0594249201277955
"45","ND35_MAG_00003","susceptible","Secondary metabolites biosynthesis, transport and catabolism",21,1565,0.0134185303514377
"46","ND35_MAG_00003","susceptible","Signal transduction mechanisms",49,1565,0.0313099041533546
"47","ND35_MAG_00003","susceptible","Transcription",59,1565,0.0376996805111821
"48","ND35_MAG_00003","susceptible","Translation, ribosomal structure and biogenesis",182,1565,0.11629392971246
"49","ND35_MAG_00005","susceptible","Amino acid transport and metabolism",124,2005,0.0618453865336658
"50","ND35_MAG_00005","susceptible","Carbohydrate transport and metabolism",79,2005,0.0394014962593516
