"mag","sam"
"ND35_MAG_00020","ND35_sorted.sam"
"ND35_MAG_00020","ND36_sorted.sam"
"ND35_MAG_00020","ND37_sorted.sam"
"ND35_MAG_00020","ND38_sorted.sam"
"ND35_MAG_00020","ND39_sorted.sam"
"ND35_MAG_00020","ND40_sorted.sam"
"ND35_MAG_00020","ND41_sorted.sam"
"ND42_MAG_00035","ND35_sorted.sam"
"ND42_MAG_00035","ND36_sorted.sam"
"ND42_MAG_00035","ND37_sorted.sam"
"ND42_MAG_00035","ND38_sorted.sam"
"ND42_MAG_00035","ND39_sorted.sam"
"ND42_MAG_00035","ND40_sorted.sam"
"ND42_MAG_00035","ND41_sorted.sam"
"ND35_MAG_00044","ND35_sorted.sam"
"ND35_MAG_00044","ND36_sorted.sam"
"ND35_MAG_00044","ND37_sorted.sam"
"ND35_MAG_00044","ND38_sorted.sam"
"ND35_MAG_00044","ND39_sorted.sam"
"ND35_MAG_00044","ND40_sorted.sam"
"ND35_MAG_00044","ND41_sorted.sam"
"ND35_MAG_00023","ND35_sorted.sam"
"ND35_MAG_00023","ND36_sorted.sam"
"ND35_MAG_00023","ND37_sorted.sam"
"ND35_MAG_00023","ND38_sorted.sam"
"ND35_MAG_00023","ND39_sorted.sam"
"ND35_MAG_00023","ND40_sorted.sam"
"ND35_MAG_00023","ND41_sorted.sam"
"ND42_MAG_00067","ND35_sorted.sam"
"ND42_MAG_00067","ND36_sorted.sam"
"ND42_MAG_00067","ND37_sorted.sam"
"ND42_MAG_00067","ND38_sorted.sam"
"ND42_MAG_00067","ND39_sorted.sam"
"ND42_MAG_00067","ND40_sorted.sam"
"ND42_MAG_00067","ND41_sorted.sam"
"ND35_MAG_00039","ND35_sorted.sam"
"ND35_MAG_00039","ND36_sorted.sam"
"ND35_MAG_00039","ND37_sorted.sam"
"ND35_MAG_00039","ND38_sorted.sam"
"ND35_MAG_00039","ND39_sorted.sam"
"ND35_MAG_00039","ND40_sorted.sam"
"ND35_MAG_00039","ND41_sorted.sam"
"ND35_MAG_00030","ND35_sorted.sam"
"ND35_MAG_00030","ND36_sorted.sam"
"ND35_MAG_00030","ND37_sorted.sam"
"ND35_MAG_00030","ND38_sorted.sam"
"ND35_MAG_00030","ND39_sorted.sam"
"ND35_MAG_00030","ND40_sorted.sam"
"ND35_MAG_00030","ND41_sorted.sam"
"ND42_MAG_00074","ND35_sorted.sam"
"ND42_MAG_00074","ND36_sorted.sam"
"ND42_MAG_00074","ND37_sorted.sam"
"ND42_MAG_00074","ND38_sorted.sam"
"ND42_MAG_00074","ND39_sorted.sam"
"ND42_MAG_00074","ND40_sorted.sam"
"ND42_MAG_00074","ND41_sorted.sam"
"ND35_MAG_00042","ND35_sorted.sam"
"ND35_MAG_00042","ND36_sorted.sam"
"ND35_MAG_00042","ND37_sorted.sam"
"ND35_MAG_00042","ND38_sorted.sam"
"ND35_MAG_00042","ND39_sorted.sam"
"ND35_MAG_00042","ND40_sorted.sam"
"ND35_MAG_00042","ND41_sorted.sam"
"ND57_MAG_00059","ND35_sorted.sam"
"ND57_MAG_00059","ND36_sorted.sam"
"ND57_MAG_00059","ND37_sorted.sam"
"ND57_MAG_00059","ND38_sorted.sam"
"ND57_MAG_00059","ND39_sorted.sam"
