"","Train_Proportion","Model","MSE","R2"
"1",0.8,"m2",0.449030863470591,0.418372795049241
"2",0.8,"m3",0.237415955810064,0.692476419724846
"3",0.7,"m2",0.517449342092154,0.443716269937161
"4",0.7,"m3",0.292890226563784,0.685128466734364
"5",0.6,"m2",0.582311954645813,0.366728796137687
"6",0.6,"m3",0.30781936841445,0.665242761285019
"7",0.5,"m2",0.38709215828147,0.443434502744911
"8",0.5,"m3",0.231551161388756,0.667073112897789
"9",0.4,"m2",0.472264406686531,0.380202770000668
"10",0.4,"m3",0.292917517951923,0.615576648008144
