"","x"
"1","PF00004.33"
"2","PF00005.31"
"3","PF00006.29"
"4","PF00009.31"
"5","PF00011.25"
"6","PF00012.24"
"7","PF00013.33"
"8","PF00015.25"
"9","PF00016.24"
"10","PF00022.23"
"11","PF00023.34"
"12","PF00025.25"
"13","PF00027.33"
"14","PF00028.21"
"15","PF00032.21"
"16","PF00033.23"
"17","PF00034.25"
"18","PF00035.30"
"19","PF00036.36"
"20","PF00037.31"
"21","PF00041.25"
"22","PF00043.29"
"23","PF00044.28"
"24","PF00054.27"
"25","PF00056.27"
"26","PF00059.25"
"27","PF00061.27"
"28","PF00067.26"
"29","PF00069.29"
"30","PF00070.31"
"31","PF00071.26"
"32","PF00072.28"
"33","PF00075.28"
"34","PF00076.26"
"35","PF00078.31"
"36","PF00079.24"
"37","PF00080.24"
"38","PF00081.26"
"39","PF00082.26"
"40","PF00083.28"
"41","PF00085.24"
"42","PF00089.30"
"43","PF00091.29"
"44","PF00092.32"
"45","PF00101.24"
"46","PF00102.31"
"47","PF00106.29"
"48","PF00107.30"
"49","PF00108.27"
"50","PF00109.30"
"51","PF00111.31"
"52","PF00113.26"
"53","PF00114.23"
"54","PF00115.24"
"55","PF00116.24"
"56","PF00117.32"
"57","PF00118.28"
"58","PF00119.24"
"59","PF00120.28"
"60","PF00121.22"
"61","PF00122.24"
"62","PF00124.23"
"63","PF00126.31"
"64","PF00127.24"
"65","PF00128.28"
"66","PF00132.28"
"67","PF00133.26"
"68","PF00135.32"
"69","PF00137.25"
"70","PF00140.24"
"71","PF00141.27"
"72","PF00142.22"
"73","PF00144.28"
"74","PF00145.21"
"75","PF00146.25"
"76","PF00148.23"
"77","PF00149.32"
"78","PF00150.22"
"79","PF00152.24"
"80","PF00154.25"
"81","PF00155.25"
"82","PF00156.31"
"83","PF00158.30"
"84","PF00160.25"
"85","PF00162.23"
"86","PF00163.23"
"87","PF00164.29"
"88","PF00165.27"
"89","PF00166.25"
"90","PF00171.26"
"91","PF00173.32"
"92","PF00174.23"
"93","PF00175.25"
"94","PF00176.27"
"95","PF00177.25"
"96","PF00180.24"
"97","PF00181.27"
"98","PF00183.22"
"99","PF00185.28"
"100","PF00186.23"
"101","PF00188.30"
"102","PF00189.24"
"103","PF00190.26"
"104","PF00194.25"
"105","PF00195.23"
"106","PF00196.23"
"107","PF00198.27"
"108","PF00199.23"
"109","PF00201.22"
"110","PF00202.25"
"111","PF00203.25"
"112","PF00204.29"
"113","PF00205.26"
"114","PF00206.24"
"115","PF00207.26"
"116","PF00208.25"
"117","PF00210.28"
"118","PF00211.24"
"119","PF00213.22"
"120","PF00215.28"
"121","PF00216.25"
"122","PF00217.23"
"123","PF00218.25"
"124","PF00223.23"
"125","PF00224.25"
"126","PF00226.35"
"127","PF00227.30"
"128","PF00230.24"
"129","PF00231.23"
"130","PF00232.22"
"131","PF00233.23"
"132","PF00237.23"
"133","PF00238.23"
"134","PF00239.25"
"135","PF00245.24"
"136","PF00246.28"
"137","PF00248.25"
"138","PF00251.24"
"139","PF00252.22"
"140","PF00253.25"
"141","PF00254.32"
"142","PF00255.23"
"143","PF00258.29"
"144","PF00263.25"
"145","PF00265.22"
"146","PF00266.23"
"147","PF00267.25"
"148","PF00268.25"
"149","PF00270.33"
"150","PF00271.35"
"151","PF00274.23"
"152","PF00275.24"
"153","PF00276.24"
"154","PF00278.26"
"155","PF00281.23"
"156","PF00282.23"
"157","PF00283.23"
"158","PF00284.24"
"159","PF00285.25"
"160","PF00288.30"
"161","PF00289.26"
"162","PF00290.24"
"163","PF00291.29"
"164","PF00292.22"
"165","PF00293.32"
"166","PF00294.28"
"167","PF00295.21"
"168","PF00296.24"
"169","PF00297.26"
"170","PF00298.23"
"171","PF00300.26"
"172","PF00301.24"
"173","PF00303.23"
"174","PF00306.31"
"175","PF00308.22"
"176","PF00309.24"
"177","PF00310.25"
"178","PF00311.21"
"179","PF00312.26"
"180","PF00313.26"
"181","PF00316.24"
"182","PF00317.25"
"183","PF00318.24"
"184","PF00324.25"
"185","PF00325.24"
"186","PF00326.25"
"187","PF00327.24"
"188","PF00329.23"
"189","PF00330.24"
"190","PF00331.24"
"191","PF00333.24"
"192","PF00334.23"
"193","PF00338.26"
"194","PF00342.23"
"195","PF00343.24"
"196","PF00344.24"
"197","PF00346.23"
"198","PF00347.27"
"199","PF00348.21"
"200","PF00350.27"
"201","PF00351.25"
"202","PF00353.23"
"203","PF00355.30"
"204","PF00356.25"
"205","PF00359.26"
"206","PF00360.24"
"207","PF00361.24"
"208","PF00364.26"
"209","PF00365.24"
"210","PF00366.24"
"211","PF00370.25"
"212","PF00374.23"
"213","PF00375.22"
"214","PF00376.27"
"215","PF00378.24"
"216","PF00380.23"
"217","PF00381.23"
"218","PF00383.27"
"219","PF00384.26"
"220","PF00389.34"
"221","PF00390.23"
"222","PF00391.27"
"223","PF00392.25"
"224","PF00393.23"
"225","PF00394.26"
"226","PF00395.24"
"227","PF00398.24"
"228","PF00400.36"
"229","PF00401.24"
"230","PF00403.30"
"231","PF00404.22"
"232","PF00406.26"
"233","PF00408.24"
"234","PF00410.23"
"235","PF00411.23"
"236","PF00413.28"
"237","PF00415.22"
"238","PF00416.26"
"239","PF00420.28"
"240","PF00421.23"
"241","PF00425.22"
"242","PF00427.25"
"243","PF00430.22"
"244","PF00432.25"
"245","PF00436.29"
"246","PF00437.24"
"247","PF00438.24"
"248","PF00440.27"
"249","PF00441.28"
"250","PF00444.22"
"251","PF00445.22"
"252","PF00448.26"
"253","PF00449.24"
"254","PF00453.22"
"255","PF00455.26"
"256","PF00456.25"
"257","PF00459.29"
"258","PF00460.24"
"259","PF00462.28"
"260","PF00463.25"
"261","PF00464.23"
"262","PF00465.23"
"263","PF00466.24"
"264","PF00467.33"
"265","PF00468.21"
"266","PF00471.24"
"267","PF00472.24"
"268","PF00474.21"
"269","PF00475.22"
"270","PF00476.24"
"271","PF00478.29"
"272","PF00479.26"
"273","PF00480.24"
"274","PF00481.25"
"275","PF00482.27"
"276","PF00483.27"
"277","PF00484.23"
"278","PF00485.22"
"279","PF00486.32"
"280","PF00487.28"
"281","PF00488.25"
"282","PF00490.25"
"283","PF00491.25"
"284","PF00493.27"
"285","PF00494.23"
"286","PF00496.26"
"287","PF00497.24"
"288","PF00498.30"
"289","PF00499.24"
"290","PF00501.32"
"291","PF00502.23"
"292","PF00504.25"
"293","PF00507.23"
"294","PF00510.22"
"295","PF00512.29"
"296","PF00514.27"
"297","PF00515.32"
"298","PF00520.35"
"299","PF00521.24"
"300","PF00528.26"
"301","PF00529.24"
"302","PF00532.25"
"303","PF00533.30"
"304","PF00534.24"
"305","PF00535.30"
