"bin_name"	"group"
"ND35_MAG_00002"	"susceptible"
"ND35_MAG_00003"	"susceptible"
"ND35_MAG_00005"	"susceptible"
"ND35_MAG_00006"	"susceptible"
"ND35_MAG_00007"	"susceptible"
"ND35_MAG_00008"	"susceptible"
"ND35_MAG_00009"	"susceptible"
"ND35_MAG_00010"	"susceptible"
"ND35_MAG_00012"	"susceptible"
"ND35_MAG_00014"	"susceptible"
"ND35_MAG_00015"	"susceptible"
"ND35_MAG_00016"	"susceptible"
"ND35_MAG_00020"	"susceptible"
"ND35_MAG_00021"	"susceptible"
"ND35_MAG_00022"	"susceptible"
"ND35_MAG_00023"	"resistant"
"ND35_MAG_00024"	"susceptible"
"ND35_MAG_00026"	"susceptible"
"ND35_MAG_00027"	"susceptible"
"ND35_MAG_00029"	"susceptible"
"ND35_MAG_00030"	"susceptible"
"ND35_MAG_00031"	"susceptible"
"ND35_MAG_00032"	"susceptible"
"ND35_MAG_00034"	"susceptible"
"ND35_MAG_00035"	"susceptible"
"ND35_MAG_00036"	"susceptible"
"ND35_MAG_00037"	"susceptible"
"ND35_MAG_00038"	"susceptible"
"ND35_MAG_00039"	"susceptible"
"ND35_MAG_00040"	"susceptible"
"ND35_MAG_00041"	"susceptible"
"ND35_MAG_00042"	"resistant"
"ND35_MAG_00043"	"susceptible"
"ND35_MAG_00044"	"resistant"
"ND35_MAG_00045"	"susceptible"
"ND42_MAG_00009"	"susceptible"
"ND42_MAG_00011"	"susceptible"
"ND42_MAG_00012"	"susceptible"
"ND42_MAG_00022"	"susceptible"
"ND42_MAG_00023"	"susceptible"
"ND42_MAG_00025"	"susceptible"
"ND42_MAG_00029"	"susceptible"
"ND42_MAG_00031"	"susceptible"
"ND42_MAG_00035"	"susceptible"
"ND42_MAG_00036"	"susceptible"
"ND42_MAG_00037"	"susceptible"
"ND42_MAG_00038"	"susceptible"
"ND42_MAG_00042"	"susceptible"
"ND42_MAG_00043"	"resistant"
"ND42_MAG_00045"	"susceptible"
"ND42_MAG_00053"	"susceptible"
"ND42_MAG_00060"	"susceptible"
"ND42_MAG_00062"	"susceptible"
"ND42_MAG_00064"	"susceptible"
"ND42_MAG_00065"	"susceptible"
"ND42_MAG_00067"	"resistant"
"ND42_MAG_00074"	"resistant"
"ND42_MAG_00077"	"susceptible"
"ND50_MAG_00001"	"susceptible"
"ND50_MAG_00002"	"resistant"
"ND50_MAG_00003"	"susceptible"
"ND50_MAG_00007"	"susceptible"
"ND50_MAG_00010"	"susceptible"
"ND50_MAG_00012"	"susceptible"
"ND50_MAG_00015"	"susceptible"
"ND50_MAG_00016"	"susceptible"
"ND50_MAG_00018"	"susceptible"
"ND50_MAG_00020"	"susceptible"
"ND50_MAG_00021"	"resistant"
"ND50_MAG_00022"	"susceptible"
"ND50_MAG_00023"	"susceptible"
"ND50_MAG_00024"	"susceptible"
"ND50_MAG_00025"	"susceptible"
"ND50_MAG_00027"	"susceptible"
"ND50_MAG_00029"	"susceptible"
"ND50_MAG_00030"	"susceptible"
"ND50_MAG_00031"	"susceptible"
"ND50_MAG_00033"	"susceptible"
"ND50_MAG_00035"	"susceptible"
"ND50_MAG_00037"	"susceptible"
"ND50_MAG_00038"	"susceptible"
"ND50_MAG_00039"	"susceptible"
"ND50_MAG_00040"	"susceptible"
"ND50_MAG_00041"	"susceptible"
"ND50_MAG_00043"	"susceptible"
"ND50_MAG_00044"	"resistant"
"ND50_MAG_00045"	"susceptible"
"ND50_MAG_00046"	"susceptible"
"ND50_MAG_00048"	"susceptible"
"ND50_MAG_00050"	"susceptible"
"ND50_MAG_00052"	"susceptible"
"ND50_MAG_00053"	"susceptible"
"ND50_MAG_00054"	"susceptible"
"ND50_MAG_00055"	"resistant"
"ND50_MAG_00056"	"susceptible"
"ND50_MAG_00058"	"susceptible"
"ND50_MAG_00059"	"susceptible"
"ND50_MAG_00060"	"resistant"
"ND57_MAG_00001"	"susceptible"
"ND57_MAG_00002"	"susceptible"
"ND57_MAG_00003"	"susceptible"
"ND57_MAG_00004"	"susceptible"
"ND57_MAG_00005"	"susceptible"
"ND57_MAG_00006"	"susceptible"
"ND57_MAG_00007"	"susceptible"
"ND57_MAG_00009"	"susceptible"
"ND57_MAG_00010"	"susceptible"
"ND57_MAG_00011"	"susceptible"
"ND57_MAG_00012"	"susceptible"
"ND57_MAG_00014"	"susceptible"
"ND57_MAG_00016"	"susceptible"
"ND57_MAG_00017"	"susceptible"
"ND57_MAG_00018"	"susceptible"
"ND57_MAG_00020"	"susceptible"
"ND57_MAG_00021"	"susceptible"
"ND57_MAG_00023"	"resistant"
"ND57_MAG_00026"	"susceptible"
"ND57_MAG_00027"	"susceptible"
"ND57_MAG_00028"	"susceptible"
"ND57_MAG_00029"	"susceptible"
"ND57_MAG_00030"	"susceptible"
"ND57_MAG_00031"	"susceptible"
"ND57_MAG_00032"	"susceptible"
"ND57_MAG_00033"	"susceptible"
"ND57_MAG_00034"	"susceptible"
"ND57_MAG_00035"	"susceptible"
"ND57_MAG_00036"	"susceptible"
"ND57_MAG_00037"	"susceptible"
"ND57_MAG_00041"	"susceptible"
"ND57_MAG_00042"	"susceptible"
"ND57_MAG_00043"	"susceptible"
"ND57_MAG_00044"	"susceptible"
"ND57_MAG_00045"	"susceptible"
"ND57_MAG_00046"	"susceptible"
"ND57_MAG_00048"	"susceptible"
"ND57_MAG_00049"	"susceptible"
"ND57_MAG_00050"	"susceptible"
"ND57_MAG_00051"	"susceptible"
"ND57_MAG_00053"	"susceptible"
"ND57_MAG_00054"	"susceptible"
"ND57_MAG_00055"	"susceptible"
"ND57_MAG_00056"	"susceptible"
"ND57_MAG_00057"	"susceptible"
"ND57_MAG_00058"	"susceptible"
"ND57_MAG_00059"	"resistant"
"ND57_MAG_00060"	"susceptible"
"ND57_MAG_00061"	"resistant"
"ND57_MAG_00062"	"resistant"
"ND57_MAG_00063"	"susceptible"
