"","MAG_ID","BGC_Type","Start","End","t_phylum","t_genus"
"1","ND35_MAG_00023","terpene",0,14839,"Proteobacteria","UBA954"
"2","ND35_MAG_00042","terpene",0,10132,"Proteobacteria","CAINMN01"
"3","ND42_MAG_00043","terpene",3413,17124,"Proteobacteria","UBA954"
"4","ND42_MAG_00043","terpene",0,14953,"Proteobacteria","UBA954"
"5","ND42_MAG_00067","terpene",0,15363,"Proteobacteria","Fonsibacter"
"6","ND50_MAG_00002","terpene",116284,138285,"Planctomycetota","UBA6894"
"7","ND50_MAG_00002","hglE-KS",7061,60153,"Planctomycetota","UBA6894"
"8","ND50_MAG_00002","terpene",224866,246834,"Planctomycetota","UBA6894"
"9","ND50_MAG_00002","terpene",81837,103670,"Planctomycetota","UBA6894"
"10","ND50_MAG_00002","T3PKS",6922,40188,"Planctomycetota","UBA6894"
"11","ND50_MAG_00021","terpene",0,13118,"Proteobacteria","CAIUPE01"
"12","ND50_MAG_00021","hserlactone",0,12887,"Proteobacteria","CAIUPE01"
"13","ND50_MAG_00044","linaridin",0,14233,"Proteobacteria","CAINMN01"
"14","ND50_MAG_00044","redox-cofactor",13255,26579,"Proteobacteria","CAINMN01"
"15","ND50_MAG_00044","terpene",0,10091,"Proteobacteria","CAINMN01"
"16","ND50_MAG_00055","terpene",53377,74280,"Actinobacteriota","Planktophila"
"17","ND57_MAG_00023","terpene",0,17968,"Planctomycetota","Pirellula"
"18","ND57_MAG_00023","NRPS-like",0,25513,"Planctomycetota","Pirellula"
"19","ND57_MAG_00023","terpene",0,20133,"Planctomycetota","Pirellula"
"20","ND57_MAG_00023","T3PKS",0,30344,"Planctomycetota","Pirellula"
"21","ND57_MAG_00061","T1PKS, NRPS, NRPS-like",0,67595,"Cyanobacteria","Microcystis"
"22","ND57_MAG_00061","T1PKS, NRPS-like, T3PKS",0,26162,"Cyanobacteria","Microcystis"
"23","ND57_MAG_00061","terpene",6373,18536,"Cyanobacteria","Microcystis"
"24","ND57_MAG_00061","NRPS, NRPS-like",0,13127,"Cyanobacteria","Microcystis"
"25","ND57_MAG_00061","LAP",0,14421,"Cyanobacteria","Microcystis"
"26","ND57_MAG_00061","T1PKS",0,14025,"Cyanobacteria","Microcystis"
